Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
151.101.8.133-192.168.14.155-443-45890-6,192.168.14.155,45890,151.101.8.133,443,6,11/11/2019 01:52:09 PM,5315537,6,5,675.0,156.0,593.0,0.0,112.5,236.33598964186558,156.0,0.0,31.2,69.76532089799343,156.33415777183,2.069405217196306,531553.7,1557298.6154726788,4961847.0,27.0,5237970.0,1047594.0,2255895.650654303,5082506.0,67.0,353623.0,88405.75,80154.7420530023,194847.0,252.0,0,0,0,0,192,176,1.128766482107076,0.9406387350892299,0.0,593.0,69.25,171.09281107048304,29272.750000000004,1,2,0,4,10,0,0,0,0.0,75.54545454545455,112.5,31.2,0,0,0,0,0,0,0,61,0,14,-1,59,3,0,0,0,0,0,1.5734623303642602E15,1788969.3867895235,1.573462334786262E15,1.573462329591532E15,No Label
151.101.8.133-192.168.14.155-443-45890-6,151.101.8.133,443,192.168.14.155,45890,6,11/11/2019 01:52:14 PM,571,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,54290.718038528896,7005.253940455342,190.33333333333334,263.8566530018399,495.0,36.0,531.0,531.0,0.0,531.0,531.0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,64,52,3502.626970227671,3502.626970227671,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,1,1,3,0,0,0,1.0,7.75,15.5,0.0,0,0,0,0,0,0,0,7,0,0,-1,0,1,0,0,0,0,0,1.573462334983838E15,0.0,1.573462334983838E15,1.573462334983838E15,No Label
192.168.14.155-54.209.100.254-60856-443-6,192.168.14.155,60856,54.209.100.254,443,6,11/11/2019 01:52:11 PM,5540596,8,6,674.0,3602.0,517.0,0.0,84.25,180.21475284464685,2103.0,0.0,600.3333333333334,933.7572846659172,771.7581285479035,2.526803975601181,426199.6923076923,1338156.91366978,4870843.0,30.0,5340408.0,762915.4285714285,1813636.417837274,4870843.0,33.0,669674.0,133934.8,123680.73242304155,263694.0,1181.0,0,0,0,0,256,208,1.4438879860578175,1.0829159895433633,0.0,2103.0,285.0666666666667,631.7263723510438,399078.20952380955,1,2,0,5,13,0,0,0,0.0,305.42857142857144,84.25,600.3333333333334,0,0,0,0,5,9094,0,48,0,257,-1,110,3,0,0,0,0,0,1.5734623321948418E15,1571595.3711098467,1.573462336907353E15,1.573462331366896E15,No Label
192.168.14.155-54.209.100.254-60856-443-6,54.209.100.254,443,192.168.14.155,60856,6,11/11/2019 01:52:17 PM,49,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,632653.0612244898,61224.48979591837,24.5,23.33452377915607,41.0,8.0,0,0,0,0,0,41.0,41.0,0.0,41.0,41.0,0,1,0,0,32,52,20408.163265306124,40816.32653061225,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-54.209.100.254-60886-443-6,192.168.14.155,60886,54.209.100.254,443,6,11/11/2019 01:52:19 PM,6187996,6,5,599.0,145.0,517.0,0.0,99.83333333333333,205.4511296310309,145.0,0.0,29.0,64.8459713474939,120.2327861879678,1.7776352796608141,618799.6000000001,1735368.5646974375,5549528.0,29.0,5989524.0,1197904.8,2567197.2151413886,5787697.0,34.0,638434.0,159608.5,107779.94010791929,238680.0,311.0,0,0,0,0,192,176,0.9696192434513532,0.808016036209461,0.0,517.0,62.0,149.4681480206645,22340.727272727276,1,2,0,4,10,0,0,0,0.0,67.63636363636364,99.83333333333333,29.0,0,0,0,0,0,0,0,54,0,13,-1,110,3,0,0,0,0,0,1.573462340815964E15,1999540.6653761908,1.573462345742399E15,1.573462339792669E15,No Label
192.168.14.155-54.209.100.254-60886-443-6,54.209.100.254,443,192.168.14.155,60886,6,11/11/2019 01:52:26 PM,37,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,837837.8378378379,108108.1081081081,12.333333333333334,6.6583281184793925,18.0,5.0,19.0,19.0,0.0,19.0,19.0,32.0,32.0,0.0,32.0,32.0,0,0,0,0,64,52,54054.05405405405,54054.05405405405,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,1,1,3,0,0,0,1.0,7.75,15.5,0.0,0,0,0,0,0,0,0,7,0,0,-1,0,1,0,0,0,0,0,1.573462346178805E15,0.0,1.573462346178805E15,1.573462346178805E15,No Label
140.82.114.6-192.168.14.155-443-34916-6,192.168.14.155,34916,140.82.114.6,443,6,11/11/2019 01:52:22 PM,5787588,9,7,605.0,3560.0,517.0,0.0,67.22222222222223,170.03365679901273,1424.0,0.0,508.57142857142856,653.7629175633567,719.6434853344778,2.764536798403756,385839.2,1330820.1149108987,5187555.0,12.0,5590819.0,698852.3750000001,1815902.5559671372,5187555.0,50.0,599716.0,99952.66666666666,109035.27314711816,202722.0,40.0,0,0,0,0,288,240,1.5550519491021129,1.2094848493016435,0.0,1424.0,245.0,476.08336979987024,226655.375,1,2,0,6,15,0,0,0,0.0,260.3125,67.22222222222223,508.57142857142856,0,0,0,0,7,10341,0,37,0,222,-1,29,3,0,0,0,0,0,1.5734623429778308E15,1511871.1575515529,1.573462347981477E15,1.573462342194253E15,No Label
140.82.114.6-192.168.14.155-443-34916-6,140.82.114.6,443,192.168.14.155,34916,6,11/11/2019 01:52:28 PM,393,2,3,24.0,288.0,24.0,0.0,12.0,16.97056274847714,288.0,0.0,96.0,166.27687752661222,793893.1297709923,12722.64631043257,98.25,133.09739541653948,294.0,14.0,309.0,309.0,0.0,309.0,309.0,99.0,49.5,28.991378028648448,70.0,29.0,0,1,0,0,64,72,5089.058524173028,7633.587786259542,0.0,288.0,100.0,145.9205263148403,21292.8,1,0,2,2,3,0,0,0,1.0,120.0,12.0,96.0,0,0,0,0,0,0,0,4,0,57,-1,0,1,0,0,0,0,0,1.5734623481787475E15,50.204581464244875,1.573462348178783E15,1.573462348178712E15,No Label
192.168.14.155-35.222.85.5-34972-80-6,192.168.14.155,34972,35.222.85.5,80,6,11/11/2019 01:52:41 PM,446711,3,5,87.0,148.0,87.0,0.0,29.0,50.22947341949744,148.0,0.0,29.6,66.18761213399378,526.0671888536436,17.90867025884744,63815.85714285714,108694.07751640776,222965.0,24.0,223629.0,111814.5,157867.9528609274,223444.0,185.0,446711.0,111677.75,128620.81698899547,223168.0,56.0,0,0,0,0,96,176,6.7157513470677905,11.192918911779651,0.0,148.0,26.11111111111111,54.01028708599049,2917.1111111111113,1,2,0,2,7,0,0,0,1.0,29.375,29.0,29.6,0,0,0,0,0,0,0,10,0,18,-1,229,1,0,0,0,0,0,1.5734623612908102E15,186514.42416549084,1.573462361469151E15,1.573462361023079E15,No Label
140.82.114.4-192.168.14.155-443-46566-6,192.168.14.155,46566,140.82.114.4,443,6,11/11/2019 01:52:16 PM,62627015,24,36,2655.0,30481.0,1072.0,0.0,110.625,304.3784561450061,1424.0,0.0,846.6944444444446,676.7772716313879,529.1007403115093,0.9580530063583583,1061474.8305084745,2983207.51811703,1.0254096E7,10.0,5.4611986E7,2374434.1739130435,4356512.38967546,1.0496148E7,159.0,6.2627015E7,1789343.2857142857,3824470.8687534537,1.0509509E7,24.0,0,0,0,0,768,1168,0.3832212025433433,0.574831803815015,0.0,1424.0,543.213114754098,661.6106386376129,437728.63715846994,1,2,0,18,59,0,0,0,1.0,552.2666666666667,110.625,846.6944444444445,0,0,0,0,26,28880,0,44,0,508,-1,34,4,0,0,0,0,0,1.5734623437638818E15,1.4570536276591333E7,1.573462399151127E15,1.573462336780018E15,No Label
140.82.114.4-192.168.14.155-443-46566-6,192.168.14.155,46566,140.82.114.4,443,6,11/11/2019 01:53:19 PM,28,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,857142.8571428572,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,35714.28571428572,35714.28571428572,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,0,0,0,12,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
