Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
192.168.14.155-216.58.207.10-59522-443-6,192.168.14.155,59522,216.58.207.10,443,6,06/12/2019 09:39:04 AM,47306,2,2,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,0.0,19.5,27.577164466275352,1331.7549570878957,84.55587029129497,15768.666666666668,14046.055329996863,27031.0,30.0,30.0,30.0,0.0,30.0,30.0,20245.0,20245.0,0.0,20245.0,20245.0,0,1,0,0,64,64,42.27793514564748,42.27793514564748,0.0,39.0,20.4,19.603571103245446,384.29999999999995,1,0,0,2,4,0,0,0,1.0,25.5,12.0,19.5,0,0,0,0,0,0,0,6,0,9,-1,248,1,0,0,0,0,0,1.575607144059382E15,0.0,1.575607144059382E15,1.575607144059382E15,No Label
192.168.14.155-216.58.207.10-59522-443-6,216.58.207.10,443,192.168.14.155,59522,6,06/12/2019 09:39:04 AM,34,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,29411.764705882353,29411.764705882353,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,248,0,0,0,0,0,0,0,0,0,0,No Label
185.29.132.23-192.168.14.174-443-49876-6,185.29.132.23,443,192.168.14.174,49876,6,06/12/2019 09:39:19 AM,6,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,5166666.666666667,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,166666.66666666666,166666.66666666666,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,0,0,0,15,-1,63,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.195-192.168.14.5-7680-59618-6,192.168.14.5,59618,192.168.14.195,7680,6,06/12/2019 09:39:29 AM,2218,4,1,75.0,0.0,75.0,0.0,18.75,37.5,0.0,0.0,0.0,0.0,33814.24706943192,2254.283137962128,554.5,639.0203439641026,1207.0,6.0,1011.0,337.0,573.3088173052984,999.0,6.0,0,0,0,0,0,0,0,0,0,80,32,1803.4265103697026,450.85662759242564,0.0,75.0,12.5,30.618621784789728,937.5,1,1,0,1,4,0,0,0,0.0,15.0,18.75,0.0,0,0,0,0,0,0,0,15,0,0,-1,64240,1,0,0,0,0,0,1.575607169878403E15,1555.6349186104046,1.575607169879503E15,1.575607169877303E15,No Label
182.176.156.50-192.168.14.177-80-49189-6,182.176.156.50,80,192.168.14.177,49189,6,06/12/2019 09:39:38 AM,12907,3,1,404.0,0.0,404.0,0.0,134.66666666666669,233.2495087526088,0.0,0.0,0.0,0.0,31300.844502982876,309.90935151468193,4302.333333333334,6380.243281672991,11634.0,10.0,11644.0,5822.0,8219.409224512428,11634.0,10.0,0,0,0,0,0,0,0,0,0,60,32,232.43201363601148,77.47733787867048,0.0,404.0,80.8,180.674292581983,32643.2,1,1,0,1,4,0,0,0,0.0,101.0,134.66666666666666,0.0,0,0,0,0,0,0,0,101,0,0,-1,65228,1,0,0,0,0,0,1.575607178084019E15,0.0,1.575607178084019E15,1.575607178084019E15,No Label
140.82.113.25-192.168.14.155-443-44744-6,140.82.113.25,443,192.168.14.155,44744,6,06/12/2019 09:39:39 AM,4713074,5,3,50.0,82.0,26.0,0.0,10.0,13.711309200802088,30.0,24.0,27.333333333333332,3.055050463303893,28.007198698768576,1.69740598174355,673296.2857142857,1606536.7312163261,4310257.0,8.0,4511953.0,1127988.25,2255518.5196615546,4511266.0,8.0,4511378.0,2255689.0,3189627.168071215,4511096.0,282.0,0,1,0,0,160,96,1.0608787385897187,0.6365272431538312,0.0,30.0,17.33333333333333,13.152946437965904,172.99999999999997,1,0,0,5,8,0,0,0,0.0,19.5,10.0,27.333333333333332,0,0,0,0,0,0,0,6,0,10,-1,501,2,0,0,0,0,0,1.5756071823560105E15,2311477.62212406,1.575607184240836E15,1.575607179729259E15,No Label
140.82.113.25-192.168.14.155-443-44744-6,192.168.14.155,44744,140.82.113.25,443,6,06/12/2019 09:39:44 AM,117,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,205128.20512820513,25641.02564102564,58.5,53.033008588991066,96.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,64,32,17094.017094017094,8547.008547008547,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,0,8,0,0,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-192.30.253.124-40366-443-6,192.168.14.155,40366,192.30.253.124,443,6,06/12/2019 09:39:44 AM,2586998,12,11,1366.0,3873.0,755.0,0.0,113.83333333333336,249.87518096162742,1424.0,0.0,352.0909090909091,555.1326786535728,2025.1271937589438,8.890613753856787,117590.81818181818,367399.15512327827,1724548.0,5.0,2386025.0,216911.36363636362,508058.9799880074,1724548.0,27.0,2586998.0,258699.80000000002,608542.102143731,1968798.0,15.0,0,0,0,0,384,368,4.638581088968759,4.252032664888029,0.0,1424.0,218.29166666666669,424.4715875334748,180176.1286231884,1,2,0,10,22,0,0,0,0.0,227.7826086956522,113.83333333333333,352.09090909090907,0,0,0,0,9,12455,0,59,0,168,-1,31,4,0,0,0,0,0,1.5756071856494645E15,856097.7569362278,1.575607187388304E15,1.575607184801394E15,No Label
192.168.14.155-192.30.253.124-40366-443-6,192.168.14.155,40366,192.30.253.124,443,6,06/12/2019 09:39:47 AM,28,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,857142.8571428572,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,35714.28571428572,35714.28571428572,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,0,0,0,12,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
151.101.8.133-192.168.14.155-443-58300-6,192.168.14.155,58300,151.101.8.133,443,6,06/12/2019 09:39:44 AM,5309379,6,5,675.0,156.0,593.0,0.0,112.5,236.33598964186558,156.0,0.0,31.2,69.76532089799343,156.51547949392952,2.071805384396179,530937.8999999999,1528954.1517145669,4879390.0,4.0,5232148.0,1046429.6,2212131.3569937027,5002036.0,30.0,429959.0,107489.75,116683.5172289414,273554.0,23.0,0,0,0,0,192,176,1.1300756642160976,0.9417297201800814,0.0,593.0,69.25,171.09281107048304,29272.750000000004,1,2,0,4,10,0,0,0,0.0,75.54545454545455,112.5,31.2,0,0,0,0,0,0,0,61,0,14,-1,59,3,0,0,0,0,0,1.5756071852285342E15,1783457.0930106074,1.575607189635012E15,1.575607184448313E15,No Label
