,Source.Port,Destination.Port,Fwd.PSH.Flags,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,scale_Flow.Duration,scale_Total.Fwd.Packets,scale_Total.Backward.Packets,scale_Total.Length.of.Fwd.Packets,scale_Total.Length.of.Bwd.Packets,scale_Fwd.Packet.Length.Mean,scale_Fwd.Packet.Length.Std,scale_Bwd.Packet.Length.Mean,scale_Bwd.Packet.Length.Std,scale_Flow.Bytes.s,scale_Flow.Packets.s,scale_Flow.IAT.Mean,scale_Flow.IAT.Std,scale_Fwd.IAT.Total,scale_Fwd.IAT.Mean,scale_Fwd.IAT.Std,scale_Bwd.IAT.Total,scale_Bwd.IAT.Mean,scale_Bwd.IAT.Std,scale_Fwd.Header.Length,scale_Bwd.Header.Length,scale_Fwd.Packets.s,scale_Bwd.Packets.s,scale_Packet.Length.Variance,scale_SYN.Flag.Count,scale_PSH.Flag.Count,scale_ACK.Flag.Count,scale_URG.Flag.Count,scale_Down.Up.Ratio,scale_Average.Packet.Size,scale_Avg.Fwd.Segment.Size,scale_Avg.Bwd.Segment.Size,scale_Fwd.Avg.Packets.Bulk,scale_Subflow.Fwd.Packets,scale_Subflow.Fwd.Bytes,scale_Subflow.Bwd.Packets,scale_Subflow.Bwd.Bytes,scale_Init_Win_bytes_forward,scale_Init_Win_bytes_backward,scale_act_data_pkt_fwd,scale_min_seg_size_forward,scale_Active.Mean,scale_Active.Std,scale_Idle.Mean,scale_Idle.Std,ApplicationName
0,59522,443,0,0.0,39.0,20.4,19.60357110324545,25.623007259852056,26.74346842213536,7.752862595419847,7.725755489743564,0.21096165058392685,325.13547311379745,593.1278251941808,846.1281708945261,1899.449806626728,1.0065589791943397,5.4950483215882,8.540322045113712,11.463538277010748,0.01625024537870522,0.01788362815014034,0.0,10.966044590945224,14.614780572273459,0.0,25.44467007560003,15.503875968992247,5.496131568934172,5.495048326255193,8.634106489609458,0.0,90.02770083102493,19.628567114600635,0.0,13000.0,662.1524448705658,325.13547311379745,846.1281708945261,0.0,0.0,203.23084940072957,0.0,528.9330922242315,0.0,246.9635009765625,27.11722987067167,0.0,0.0,0.0,64999.09088125253,0.0,HTTP_PROXY
1,443,59522,0,0.0,0.0,0.0,0.0,0.017333338244445835,13.37173421106768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3823.528392151578,0.017333423178243473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.722335037800015,7.751937984496124,3823.5294117647063,3823.5283921559703,0.0,0.0,0.0,9.814283557300318,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.9635009765625,0.0,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
2,443,49876,0,0.0,31.0,20.666666666666664,17.8978583448784,0.0021666672805557294,13.37173421106768,0.0,0.0,0.16768746584876237,0.0,0.0,1345.1268357810416,0.0,3905.0387596899227,21666.665944440694,0.0021666778972804336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951459398625009,4.844961240310077,21666.66666666666,21666.665944443805,7.19696099966579,0.0,45.013850415512465,9.814283557300318,0.0,13000.0,804.9696388622564,0.0,1345.1268357810416,0.0,0.0,0.0,0.0,881.5551537070525,0.0,63.4765625,0.0,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
3,59618,7680,0,0.0,75.0,12.5,30.618621784789728,1.2003336734278742,53.48693684427072,0.0,24.142985905448636,0.0,508.02417674030846,1310.6397103288575,0.0,0.0,25.557279761779938,146.5273230707424,0.29927238456185995,0.5215296395121563,0.5476332692623659,0.20089275621990982,0.4543004399458619,0.0,0.0,0.0,31.805837594500037,7.751937984496124,234.44544634806135,58.61027922959096,21.062906151467256,16250.0,45.013850415512465,19.628567114600635,0.0,0.0,389.50143815915635,508.02417674030846,0.0,0.0,0.0,508.0771235018239,0.0,0.0,0.0,63715.59143066406,27.11722987067167,0.0,0.0,0.0,64999.091946373934,9.075743343934692e-08,SSL
4,80,49189,0,0.0,404.0,80.8,180.674292581983,6.990210313892923,40.11520263320304,0.0,130.05021741068333,0.0,3648.742531610394,8152.161828956467,0.0,0.0,23.65761503132427,20.143024845242557,2.329359296067907,5.2071675184064175,6.307261906321452,3.470616103003902,6.513210880555146,0.0,0.0,0.0,23.85437819587503,7.751937984496124,30.21616177268149,10.070970757813622,733.3980352891476,16250.0,45.013850415512465,19.628567114600635,0.0,0.0,2622.6430169383193,3648.742531610393,0.0,0.0,0.0,3421.0526315789475,0.0,0.0,0.0,64695.51086425781,27.11722987067167,0.0,0.0,0.0,64999.092284883176,0.0,YOUTUBE
5,443,44744,0,0.0,30.0,17.33333333333333,13.152946437965904,2552.9147233258386,66.8586710553384,15.505725190839692,16.09532393696576,0.44356039353543597,270.9462275948312,479.2156351778306,1186.0258121940365,210.4246438698936,0.021168231574650663,0.10924805170355656,364.70296180559006,1311.157821825709,2444.011446239505,672.4174140242513,1787.3143144816127,2443.663734976996,1628.3724264900443,3100.176084078887,63.611675189000074,23.25581395348837,0.13791423601666344,0.08166520870789078,3.8868082818174234,0.0,225.06925207756234,39.25713422920127,0.0,0.0,506.3518696069032,270.9462275948312,1186.0258121940365,0.0,0.0,203.23084940072957,0.0,587.7034358047016,0.0,497.894287109375,54.23445974134334,0.0,0.0,0.0,64999.09246111718,0.00013485411900104232,SSL
6,44744,443,0,0.0,24.0,6.0,12.0,0.06229168431597722,26.74346842213536,0.0,7.725755489743564,0.0,325.13547311379745,593.1278251941808,0.0,0.0,155.0387596899225,1666.6656111056398,0.030604325299086133,0.04328232444069936,0.011375171765093653,0.012518539705098239,0.0,0.0,0.0,0.0,25.44467007560003,7.751937984496124,2222.222222222222,1111.1100462953643,3.2352623848653703,0.0,45.013850415512465,14.721425335950476,0.0,0.0,207.73410035155004,325.13547311379745,0.0,0.0,0.0,270.9744658676394,0.0,0.0,0.0,497.894287109375,27.11722987067167,0.0,0.0,0.0,0.0,0.0,YOUTUBE
7,40366,443,0,0.0,1424.0,218.29166666666669,424.4715875334748,1401.2898970321373,160.46081053281216,77.52862595419847,439.72424995790453,20.950114684911508,3084.2712241211625,8733.235594504486,15277.642917829837,38236.22477250008,1.53061939063176,0.5768065646835991,63.69427333046827,299.8489026810669,1292.4497243241706,129.30540562708666,402.5952700533575,1401.2909570109218,186.7543003749582,591.4759223605171,152.66802045360018,89.14728682170542,0.6030155415659387,0.5516809213669384,4048.0350804532377,32500.0,450.1385041551247,107.9571191303035,0.0,0.0,5914.776911640059,3084.271224121161,15277.642917829833,0.0,0.0,1998.4366857738407,0.0,9873.417721518987,0.0,31.73828125,108.46891948268669,0.0,0.0,0.0,64999.09259698323,4.994567444019461e-05,HTTP_PROXY
8,40366,443,0,0.0,24.0,16.0,13.85640646055102,0.014083337323612242,13.37173421106768,0.0,0.0,0.12982255420549346,0.0,0.0,1041.3885180240322,0.0,647.8405315614618,4642.856136899547,0.014083406332322822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.722335037800015,7.751937984496124,4642.857142857143,4642.856136903882,4.313683179820494,0.0,45.013850415512465,9.814283557300318,0.0,13000.0,623.2023010546501,0.0,1041.3885180240322,0.0,0.0,0.0,0.0,705.244122965642,0.0,497.894287109375,0.0,0.0,0.0,0.0,0.0,0.0,HTTP_PROXY
9,58300,443,0,0.0,593.0,69.25,171.09281107048304,2875.9133565087845,80.23040526640608,31.01145038167939,217.28687314903775,0.8438466023357074,3048.145060441851,8260.035546786628,1353.8050734312417,4805.27015208548,0.11829658333843512,0.1335840132815789,287.59176985067364,1247.8396268696993,2834.122961923392,623.7985950566699,1752.9335296531954,232.89452043853876,77.59639960575603,113.41120151610595,76.33401022680009,42.63565891472868,0.1469098363480927,0.1213415313825759,657.6737984483874,32500.0,180.05540166204986,49.071417786501584,0.0,0.0,1961.6708794561146,3048.145060441851,1353.8050734312417,0.0,0.0,2066.1803022407507,0.0,822.7848101265822,0.0,59.50927734375,81.35168961201501,0.0,0.0,0.0,64999.092579618446,0.00010404882692876754,IP_ICMP
