Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
185.199.110.154-192.168.14.155-443-55582-6,192.168.14.155,55582,185.199.110.154,443,6,02/12/2019 09:35:48 AM,552,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,139492.75362318842,5434.782608695652,276.0,357.79603128039304,529.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,64,32,3623.1884057971015,1811.5942028985507,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,2130,1,0,0,0,0,0,0,0,0,0,No Label
185.199.110.154-192.168.14.155-443-55582-6,185.199.110.154,443,192.168.14.155,55582,6,02/12/2019 09:35:48 AM,71,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,436619.7183098591,56338.028169014084,23.666666666666664,29.297326385411576,57.0,2.0,14.0,14.0,0.0,14.0,14.0,69.0,69.0,0.0,69.0,69.0,0,0,0,0,64,52,28169.014084507042,28169.014084507042,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,1,1,3,0,0,0,1.0,7.75,15.5,0.0,0,0,0,0,0,0,0,7,0,0,-1,0,1,0,0,0,0,0,1.575261348694255E15,0.0,1.575261348694255E15,1.575261348694255E15,No Label
192.168.14.155-54.192.151.77-60506-443-6,192.168.14.155,60506,54.192.151.77,443,6,02/12/2019 09:35:52 AM,2342419,2,2,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,13.23418227055023,1.7076364220064812,780806.3333333333,1285665.9263721402,2264688.0,29.0,29.0,29.0,0.0,29.0,29.0,77702.0,77702.0,0.0,77702.0,77702.0,0,0,0,0,64,64,0.8538182110032406,0.8538182110032406,0.0,31.0,6.2,13.863621460498695,192.2,1,0,0,1,4,0,0,0,1.0,7.75,15.5,0.0,0,0,0,0,0,0,0,7,0,0,-1,131,1,0,0,0,0,0,1.575261354435618E15,0.0,1.575261354435618E15,1.575261354435618E15,No Label
192.168.14.250-192.168.14.5-8002-50055-6,192.168.14.250,8002,192.168.14.5,50055,6,02/12/2019 09:35:48 AM,6199754,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32259344483668223,6199754.0,0.0,6199754.0,6199754.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.16129672241834112,0.16129672241834112,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
152.199.23.241-192.168.14.155-443-58612-6,192.168.14.155,58612,152.199.23.241,443,6,02/12/2019 09:35:56 AM,366,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,172131.1475409836,8196.72131147541,183.0,224.8599564173221,342.0,24.0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,0,0,1,0,0,40,20,5464.48087431694,2732.24043715847,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,0,8,0,13,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-216.58.210.72-36478-443-6,192.168.14.155,36478,216.58.210.72,443,6,02/12/2019 09:35:56 AM,1063,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,59266.22765757291,2822.2013170272817,531.5,724.7844507162113,1044.0,19.0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,0,0,1,0,0,64,32,1881.4675446848544,940.7337723424272,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,0,8,0,13,-1,998,1,0,0,0,0,0,0,0,0,0,No Label
152.199.23.241-192.168.14.155-443-58612-6,152.199.23.241,443,192.168.14.155,58612,6,02/12/2019 09:35:56 AM,75,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,320000.0,40000.0,37.5,34.64823227814083,62.0,13.0,0,0,0,0,0,62.0,62.0,0.0,62.0,62.0,0,1,0,0,20,40,13333.333333333334,26666.666666666668,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,2,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,0,0,0,8,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-216.58.210.72-36478-443-6,216.58.210.72,443,192.168.14.155,36478,6,02/12/2019 09:35:56 AM,38,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,38.0,0.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26315.78947368421,26315.78947368421,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,248,0,0,0,0,0,0,0,0,0,0,No Label
172.217.19.2-192.168.14.155-443-34742-6,192.168.14.155,34742,172.217.19.2,443,6,02/12/2019 09:35:57 AM,674,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,93471.81008902077,4451.038575667656,337.0,442.64884502277874,650.0,24.0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,0,0,1,0,0,64,32,2967.359050445104,1483.679525222552,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,0,8,0,13,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
182.161.72.131-192.168.14.155-443-35072-6,192.168.14.155,35072,182.161.72.131,443,6,02/12/2019 09:35:57 AM,1369,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,46018.99196493791,2191.3805697589482,684.5,945.4017664464141,1353.0,16.0,16.0,16.0,0.0,16.0,16.0,0,0,0,0,0,0,1,0,0,64,32,1460.9203798392987,730.4601899196493,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,0,8,0,13,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
